BOA* + CH	10628	9694	97007	21660	244	2.12439	0.048388
BOA* + CH	11673	2245	12610	2389	85	0.315952	0.055412
BOA* + CH	2536	9820	18450	3579	74	0.392133	0.048229
BOA* + CH	4111	10567	91918	21319	174	2.47424	0.058602
BOA* + CH	6527	9622	96329	24955	272	2.46196	0.052536
BOA* + CH	7839	10032	122566	21507	205	2.71143	0.052496
BOA* + CH	4125	2161	17607	4116	92	0.416308	0.063684
BOA* + CH	3341	3769	322	85	12	0.062604	0.054535
BOA* + CH	4924	5710	653	106	13	0.069059	0.0578
BOA* + CH	6740	6386	526	94	8	0.062556	0.054626
