BOA* + CH	10628	9694	255014	21384	244	2.0687	0.020244
BOA* + CH	11673	2245	26690	2819	85	0.196349	0.019114
BOA* + CH	2536	9820	31656	3887	74	0.217681	0.021011
BOA* + CH	4111	10567	239097	21603	175	1.77754	0.017107
BOA* + CH	6527	9622	327492	24638	272	2.49589	0.023
BOA* + CH	7839	10032	172260	20413	204	1.29931	0.018282
BOA* + CH	4125	2161	41853	4265	90	0.264629	0.0177
BOA* + CH	3341	3769	423	74	12	0.019174	0.016702
BOA* + CH	4924	5710	760	115	13	0.022687	0.018193
BOA* + CH	6740	6386	447	91	8	0.021201	0.01851
