BOA* + CH	10628	9694	697753	15211	244	10.0017	0.04862
BOA* + CH	11673	2245	62284	2723	85	1.07598	0.256324
BOA* + CH	2536	9820	71904	3556	74	0.942825	0.027973
BOA* + CH	4111	10567	640247	16315	175	9.3949	0.039978
BOA* + CH	6527	9622	905988	18712	272	12.7474	0.042391
BOA* + CH	7839	10032	429839	14282	204	6.38726	0.040429
BOA* + CH	4125	2161	98975	4151	90	1.28381	0.045025
BOA* + CH	3341	3769	1063	74	12	0.054447	0.042069
BOA* + CH	4924	5710	1359	115	13	0.05541	0.039946
BOA* + CH	6740	6386	946	81	8	0.046052	0.032644
