BOA* + CH	2995	2515	27	8	1	0.065535	0.065367
BOA* + CH	1443	433	65	17	2	0.059008	0.058683
BOA* + CH	22660	16133	139	34	2	0.061574	0.060379
BOA* + CH	35027	15790	169	18	2	0.055688	0.05485
BOA* + CH	199719	25126	438	49	2	0.058207	0.0557
BOA* + CH	15430	13102	175	36	3	0.057976	0.056691
BOA* + CH	78621	73259	118	27	3	0.056938	0.056188
BOA* + CH	4531	638	132	24	4	0.054118	0.053238
BOA* + CH	25783	25006	308	48	5	0.053622	0.0516
BOA* + CH	36255	28938	299	62	6	0.055544	0.053804
BOA* + CH	59415	57572	243	38	6	0.052047	0.050765
BOA* + CH	119727	59624	205	59	6	0.054157	0.052571
BOA* + CH	36925	22048	572	149	9	0.062622	0.057775
BOA* + CH	118369	50577	581	121	9	0.05883	0.054753
BOA* + CH	14361	9409	243	95	10	0.053344	0.051695
BOA* + CH	34163	31977	438	165	11	0.057546	0.053583
BOA* + CH	76252	62469	350	140	12	0.053899	0.051367
BOA* + CH	28221	17517	408	129	13	0.056261	0.053223
BOA* + CH	44994	37058	513	267	15	0.061147	0.053343
BOA* + CH	95256	35388	801	296	21	0.060887	0.053948
BOA* + CH	181547	162984	417	170	21	0.057041	0.053209
BOA* + CH	256351	4977	361	134	23	0.055898	0.053193
BOA* + CH	41228	23956	615	305	26	0.057784	0.050583
BOA* + CH	164821	158010	602	328	26	0.061176	0.055003
BOA* + CH	261555	181288	1297	498	26	0.06985	0.053918
BOA* + CH	62542	24671	2253	366	27	0.07002	0.055732
BOA* + CH	100382	20098	1572	548	27	0.07261	0.056764
BOA* + CH	213528	67115	1307	367	28	0.070837	0.058562
BOA* + CH	48021	38268	915	406	30	0.074742	0.062905
BOA* + CH	225008	31517	727	261	30	0.06125	0.055117
BOA* + CH	195672	181405	2821	659	32	0.084768	0.056703
BOA* + CH	24977	18201	664	302	34	0.061324	0.05506
BOA* + CH	200004	30228	1886	793	37	0.078289	0.056179
BOA* + CH	138538	3324	1088	542	41	0.062024	0.053435
BOA* + CH	253906	234570	1530	704	42	0.080215	0.060849
BOA* + CH	28493	5425	3367	753	43	0.094606	0.062509
BOA* + CH	20754	7330	342	189	44	0.060442	0.057303
BOA* + CH	39855	20386	1325	510	47	0.068732	0.05138
BOA* + CH	40931	18273	2246	676	49	0.098219	0.072857
BOA* + CH	36274	34196	3426	1016	50	0.098769	0.064098
BOA* + CH	90568	57876	1255	707	50	0.069987	0.057724
BOA* + CH	178689	1476	1718	552	55	0.069207	0.053746
BOA* + CH	250971	8825	2389	662	56	0.082306	0.060471
BOA* + CH	125217	38247	4226	1332	60	0.106358	0.064182
BOA* + CH	249958	179744	2000	1185	64	0.076301	0.051166
BOA* + CH	48345	4503	4304	1553	65	0.117876	0.058909
BOA* + CH	149399	60601	2134	862	65	0.085838	0.058304
BOA* + CH	134597	85328	20167	3668	75	0.229497	0.058983
BOA* + CH	68380	18692	8774	1407	86	0.125494	0.057368
BOA* + CH	177807	18352	4198	1987	86	0.111745	0.053061
BOA* + CH	186123	3616	2693	948	88	0.070884	0.050855
BOA* + CH	198304	20764	3089	1206	88	0.0874	0.053874
